City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kapaa,22.08,-159.32,80.6,69,90,4.7,US,1604199757
Qaanaaq,77.48,-69.36,5.14,81,0,4.81,GL,1604199738
Sechura,-5.56,-80.82,64.65,81,55,10.83,PE,1604199757
Rikitea,-23.12,-134.97,76.06,68,0,8.55,PF,1604199757
Punta Arenas,-53.15,-70.92,48.2,81,0,6.93,CL,1604199758
Bluff,-46.6,168.33,53.01,84,99,15.99,NZ,1604199758
Birao,10.28,22.79,73.67,59,0,1.54,CF,1604199758
Krasnyye Tkachi,57.49,39.76,35.6,91,90,6.71,RU,1604199758
Puerto Escondido,15.85,-97.07,79.18,75,4,4.72,MX,1604199758
Richards Bay,-28.78,32.04,64.02,87,100,3.47,ZA,1604199496
Hilo,19.73,-155.09,82.4,65,90,5.82,US,1604199758
Philadelphia,39.95,-75.16,42.01,80,20,4.7,US,1604199721
Dakar,14.69,-17.44,73.4,94,90,10.29,SN,1604199759
Cidreira,-30.18,-50.21,61.9,74,0,6.29,BR,1604199748
Busselton,-33.65,115.33,60.01,89,100,1.01,AU,1604199759
Bocsig,46.42,21.95,33.8,100,0,1.36,RO,1604199759
Manggar,-2.88,108.27,85.46,67,57,3.58,ID,1604199759
Hobart,-42.88,147.33,68.0,62,75,9.17,AU,1604199622
Butaritari,3.07,172.79,81.7,76,100,12.84,KI,1604199760
Saldanha,-33.01,17.94,53.6,58,0,6.93,ZA,1604199760
Vaini,-21.2,-175.2,78.8,74,75,11.41,TO,1604199760
Eureka,40.8,-124.16,48.0,100,90,3.0,US,1604199747
Khatanga,71.97,102.5,-2.96,88,73,9.89,RU,1604199760
Chokurdakh,70.63,147.92,-7.58,92,83,8.19,RU,1604199761
Atuona,-9.8,-139.03,78.55,74,6,18.41,PF,1604199736
Clyde River,70.47,-68.59,8.6,84,1,17.22,CA,1604199761
Katobu,-4.94,122.53,93.38,43,55,3.27,ID,1604199761
Geraldton,-28.77,114.6,59.0,100,75,17.22,AU,1604199761
Bengkulu,-3.8,102.27,83.97,64,94,3.04,ID,1604199472
Honningsvåg,70.98,25.97,39.27,79,5,23.33,NO,1604199761
Carnarvon,-24.87,113.63,77.0,53,84,18.34,AU,1604199761
Catalina Foothills,32.3,-110.92,77.0,16,1,10.29,US,1604199762
Cabo San Lucas,22.89,-109.91,78.8,74,20,2.8,MX,1604199597
Kalmunai,7.42,81.82,82.99,71,52,6.89,LK,1604199514
Hay River,60.82,-115.8,26.6,86,100,3.36,CA,1604199606
Yellowknife,62.46,-114.35,23.0,92,90,9.17,CA,1604199642
Tiksi,71.69,128.87,-2.74,91,68,7.56,RU,1604199762
Turukhansk,65.82,87.98,19.94,97,100,20.49,RU,1604199762
Porto Velho,-8.76,-63.9,73.4,94,90,3.36,BR,1604199522
Netrakona,24.88,90.72,78.62,84,79,5.44,BD,1604199763
Dikson,73.51,80.55,20.73,98,99,7.43,RU,1604199763
Bredasdorp,-34.53,20.04,48.2,93,16,1.12,ZA,1604199475
Mataura,-46.19,168.86,53.01,84,98,15.99,NZ,1604199763
Isangel,-19.55,169.27,80.24,71,97,14.25,VU,1604199763
Nānākuli,21.39,-158.15,84.2,51,90,6.93,US,1604199763
Albany,42.6,-73.97,34.0,84,0,4.72,US,1604199630
Saskylakh,71.92,114.08,-6.34,86,32,8.61,RU,1604199483
Hwange,-18.37,26.5,69.6,34,0,4.65,ZW,1604199764
Port Alfred,-33.59,26.89,61.88,81,67,11.32,ZA,1604199764
Tegul'det,57.31,88.17,33.21,95,100,10.63,RU,1604199764
Maridi,4.92,29.47,68.56,94,99,0.63,SS,1604199764
Hermanus,-34.42,19.23,55.0,84,3,4.0,ZA,1604199764
Berlevåg,70.86,29.09,37.94,78,9,16.75,NO,1604199485
Margate,51.38,1.39,54.0,71,100,1.99,GB,1604199765
Belyy Yar,53.6,91.39,30.2,86,0,2.24,RU,1604199765
Longyearbyen,78.22,15.64,19.4,79,20,11.41,SJ,1604199765
Elizabeth City,36.29,-76.25,55.4,76,1,8.05,US,1604199699
Pisco,-13.7,-76.22,62.6,88,0,6.93,PE,1604199490
Ushuaia,-54.8,-68.3,46.4,93,75,4.7,AR,1604199737
Tuktoyaktuk,69.45,-133.04,-4.0,76,40,4.7,CA,1604199765
São Filipe,14.9,-24.5,79.38,68,75,7.38,CV,1604199745
Upernavik,72.79,-56.15,16.18,95,100,11.63,GL,1604199766
Tunceli,39.11,39.55,64.4,20,75,8.05,TR,1604199721
Coyhaique,-45.58,-72.07,53.6,66,0,2.24,CL,1604199766
Umluj,25.02,37.27,77.59,60,0,4.81,SA,1604199684
Forsytheganj,52.63,29.73,45.18,84,100,12.41,BY,1604199766
